name,Tier,Text,generation_type,required_level,Spawn_weights
"of the Brute","Unknown","Various","suffix","Various","Various"
"of the Wrestler","Unknown","Various","suffix","Various","Various"
"of the Bear","Unknown","Various","suffix","Various","Various"
"of the Lion","Unknown","Various","suffix","Various","Various"
"of the Gorilla","Unknown","Various","suffix","Various","Various"
"of the Goliath","Unknown","Various","suffix","Various","Various"
"of the Leviathan","Unknown","Various","suffix","Various","Various"
"of the Titan","Unknown","Various","suffix","Various","Various"
"of the Gods","Unknown","+(34-36) to [Strength|Strength]","suffix","81","belt, default"
"of the Mongoose","Unknown","Various","suffix","Various","Various"
"of the Lynx","Unknown","Various","suffix","Various","Various"
"of the Fox","Unknown","Various","suffix","Various","Various"
"of the Falcon","Unknown","Various","suffix","Various","Various"
"of the Panther","Unknown","Various","suffix","Various","Various"
"of the Leopard","Unknown","Various","suffix","Various","Various"
"of the Jaguar","Unknown","Various","suffix","Various","Various"
"of the Phantom","Unknown","Various","suffix","Various","Various"
"of the Wind","Unknown","Various","suffix","Various","Various"
"of the Pupil","Unknown","Various","suffix","Various","Various"
"of the Student","Unknown","Various","suffix","Various","Various"
"of the Prodigy","Unknown","Various","suffix","Various","Various"
"of the Augur","Unknown","Various","suffix","Various","Various"
"of the Philosopher","Unknown","Various","suffix","Various","Various"
"of the Sage","Unknown","Various","suffix","Various","Various"
"of the Savant","Unknown","Various","suffix","Various","Various"
"of the Virtuoso","Unknown","Various","suffix","Various","Various"
"of the Genius","Unknown","+(34-36) to [Intelligence|Intelligence]","suffix","81","helmet, default"
"of the Clouds","Unknown","+(2-4) to all [Attributes|Attributes]","suffix","1","amulet, ring, default"
"of the Sky","Unknown","+(5-7) to all [Attributes|Attributes]","suffix","11","amulet, ring, default"
"of the Meteor","Unknown","+(8-10) to all [Attributes|Attributes]","suffix","22","amulet, ring, default"
"of the Comet","Unknown","+(11-13) to all [Attributes|Attributes]","suffix","33","amulet, ring, default"
"of the Heavens","Unknown","+(14-16) to all [Attributes|Attributes]","suffix","44","amulet, default"
"of the Galaxy","Unknown","+(17-18) to all [Attributes|Attributes]","suffix","55","amulet, default"
"of the Universe","Unknown","+(19-20) to all [Attributes|Attributes]","suffix","66","amulet, default"
"of the Multiverse","Unknown","+(21-22) to all [Attributes|Attributes]","suffix","75","amulet, default"
"of the Infinite","Unknown","+(23-24) to all [Attributes|Attributes]","suffix","82","amulet, default"
"of the Whelpling","Unknown","Various","suffix","Various","Various"
"of the Salamander","Unknown","Various","suffix","Various","Various"
"of the Drake","Unknown","Various","suffix","Various","Various"
"of the Kiln","Unknown","Various","suffix","Various","Various"
